iShares Russell 2000 ETF
Fund Holdings as of,"Apr 10, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"280,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BE","BLOOM ENERGY CLASS A CORP","Industrials","Equity","860,855,470.00","1.18","860,855,470.00","5,164,100.00","166.70","United States","NYSE","USD","1.00","USD","-"
"FN","FABRINET","Information Technology","Equity","565,315,999.92","0.77","565,315,999.92","853,784.00","662.13","United States","NYSE","USD","1.00","USD","-"
"CDE","COEUR MINING INC","Materials","Equity","485,715,026.72","0.66","485,715,026.72","23,997,778.00","20.24","United States","NYSE","USD","1.00","USD","-"
"CRDO","CREDO TECHNOLOGY GROUP HOLDING LTD","Information Technology","Equity","455,952,182.52","0.62","455,952,182.52","3,812,628.00","119.59","United States","NASDAQ","USD","1.00","USD","-"
"SATS","ECHOSTAR CORP CLASS A","Communication","Equity","411,851,523.93","0.56","411,851,523.93","3,202,827.00","128.59","United States","NASDAQ","USD","1.00","USD","-"
"NXT","NEXTPOWER INC CLASS A","Industrials","Equity","406,683,879.50","0.56","406,683,879.50","3,447,350.00","117.97","United States","NASDAQ","USD","1.00","USD","-"
"AEIS","ADVANCED ENERGY INDUSTRIES INC","Information Technology","Equity","338,326,815.92","0.46","338,326,815.92","891,178.00","379.64","United States","NASDAQ","USD","1.00","USD","-"
"STRL","STERLING INFRASTRUCTURE INC","Industrials","Equity","314,714,598.84","0.43","314,714,598.84","705,069.00","446.36","United States","NASDAQ","USD","1.00","USD","-"
"KTOS","KRATOS DEFENSE AND SECURITY SOLUTI","Industrials","Equity","300,582,726.22","0.41","300,582,726.22","4,273,283.00","70.34","United States","NASDAQ","USD","1.00","USD","-"
"MOD","MODINE MANUFACTURING","Industrials","Equity","298,887,156.18","0.41","298,887,156.18","1,237,833.00","241.46","United States","NYSE","USD","1.00","USD","-"
"TTMI","TTM TECHNOLOGIES INC","Information Technology","Equity","293,947,727.78","0.40","293,947,727.78","2,419,522.00","121.49","United States","NASDAQ","USD","1.00","USD","-"
"HL","HECLA MINING","Materials","Equity","292,195,577.94","0.40","292,195,577.94","15,015,189.00","19.46","United States","NYSE","USD","1.00","USD","-"
"RMBS","RAMBUS INC","Information Technology","Equity","281,916,101.72","0.38","281,916,101.72","2,552,663.00","110.44","United States","NASDAQ","USD","1.00","USD","-"
"BBIO","BRIDGEBIO PHARMA INC","Health Care","Equity","279,498,874.24","0.38","279,498,874.24","3,747,136.00","74.59","United States","NASDAQ","USD","1.00","USD","-"
"DY","DYCOM INDUSTRIES INC","Industrials","Equity","270,714,120.00","0.37","270,714,120.00","688,840.00","393.00","United States","NYSE","USD","1.00","USD","-"
"ENSG","ENSIGN GROUP INC","Health Care","Equity","263,682,195.06","0.36","263,682,195.06","1,324,903.00","199.02","United States","NASDAQ","USD","1.00","USD","-"
"SPXC","SPX TECHNOLOGIES INC","Industrials","Equity","245,817,269.97","0.34","245,817,269.97","1,138,201.00","215.97","United States","NYSE","USD","1.00","USD","-"
"AAOI","APPLIED OPTOELECTRONICS INC","Information Technology","Equity","235,055,576.40","0.32","235,055,576.40","1,560,794.00","150.60","United States","NASDAQ","USD","1.00","USD","-"
